user_id,item_id,rating,timestamp
225,104,1,1023840000
225,101,1,1024185600
225,102,1,1024185600
1115,152,1,1036627200
225,23,1,1052611200
225,116,1,1052611200
2672,176,1,1066003200
1301,151,1,1069459200
269,20,1,1071619200
269,70,1,1071619200
1039,175,1,1072656000
1039,204,1,1072656000
1039,850,1,1072656000
225,317,1,1073260800
225,327,1,1073520000
652,4941,1,1073952000
652,1026,1,1074988800
652,62,1,1076198400
652,4851,1,1076630400
1296,82,1,1077840000
1296,185,1,1077840000
1296,189,1,1077926400
487,36,1,1078099200
652,173,1,1078099200
487,52,1,1079481600
652,3394,1,1082419200
652,989,1,1082851200
652,99,1,1083110400
652,290,1,1083110400
652,2131,1,1083283200
652,392,1,1083369600
652,1073,1,1083369600
435,30,1,1084233600
435,2542,1,1084320000
6473,494,1,1084838400
6473,951,1,1084838400
6473,961,1,1084838400
6473,1283,1,1084838400
6473,2604,1,1084838400
6473,2638,1,1084838400
6473,2747,1,1084838400
652,1580,1,1085011200
225,158,1,1085356800
225,256,1,1085356800
225,740,1,1085443200
3299,747,1,1087689600
965,59,1,1088467200
1786,119,1,1088467200
1078,667,1,1088985600
1078,70,1,1089504000
652,5010,1,1090368000
435,162,1,1091750400
14961,3404,1,1091750400
3673,3404,1,1092614400
716,1066,1,1093046400
269,17,1,1093651200
269,429,1,1093651200
3673,241,1,1094774400
4932,336,1,1095465600
225,129,1,1095724800
225,494,1,1095724800
965,76,1,1095984000
225,262,1,1097884800
723,560,1,1098489600
723,842,1,1098489600
225,493,1,1098748800
2179,148,1,1098835200
873,373,1,1099094400
652,420,1,1099180800
225,99,1,1099353600
5918,438,1,1099526400
7083,571,1,1099526400
723,47,1,1099785600
723,59,1,1099785600
652,1101,1,1102032000
7083,1093,1,1102982400
7083,573,1,1103500800
652,560,1,1103673600
3592,709,1,1104278400
2315,672,1,1106006400
7083,572,1,1106179200
7083,574,1,1106179200
7083,560,1,1106265600
7140,573,1,1106524800
8532,784,1,1106956800
7246,592,1,1107043200
7246,595,1,1107043200
7246,3405,1,1107043200
7246,3409,1,1107043200
2664,1279,1,1107129600
3424,4511,1,1107216000
1681,420,1,1107388800
2315,574,1,1108080000
1078,649,1,1108339200
3424,1226,1,1108684800
652,1051,1,1109635200
989,62,1,1109808000
225,295,1,1110585600
225,728,1,1110585600
943,745,1,1110931200
943,1024,1,1110931200
3424,226,1,1111536000
3424,903,1,1111536000
717,46,1,1112140800
717,74,1,1112140800
717,83,1,1112140800
717,47,1,1113264000
717,1274,1,1113264000
3197,209,1,1113350400
1078,77,1,1113523200
1681,810,1,1113523200
652,1017,1,1114992000
3842,2845,1,1115337600
6676,521,1,1115683200
7246,596,1,1117238400
621,3511,1,1117670400
3852,1635,1,1117756800
2315,150,1,1118016000
652,966,1,1118275200
6744,530,1,1118534400
652,3100,1,1118707200
943,57,1,1119052800
943,697,1,1119052800
422,34,1,1119139200
435,112,1,1119312000
422,29,1,1119484800
225,110,1,1119484800
10153,1126,1,1119571200
3770,506,1,1119830400
2315,561,1,1119830400
2315,571,1,1119830400
2315,572,1,1119830400
12445,1611,1,1119830400
652,948,1,1120003200
5483,1041,1,1120003200
5483,891,1,1120089600
652,1036,1,1120089600
2664,259,1,1120176000
6629,514,1,1120176000
716,564,1,1120262400
716,1093,1,1120262400
8886,844,1,1120348800
5483,564,1,1120521600
5483,1086,1,1120521600
5483,1015,1,1120694400
943,706,1,1120780800
5483,1093,1,1120867200
5483,1023,1,1120953600
4341,278,1,1121040000
225,161,1,1121817600
10155,1126,1,1122163200
6237,458,1,1122336000
716,45,1,1122422400
6672,520,1,1122681600
978,498,1,1122854400
621,706,1,1123200000
716,367,1,1123459200
3253,210,1,1123891200
6670,845,1,1123891200
5483,394,1,1124064000
2971,190,1,1124150400
2971,209,1,1124150400
2971,688,1,1124150400
5483,619,1,1124668800
8257,745,1,1125964800
5814,430,1,1126137600
5814,777,1,1126137600
5814,891,1,1126137600
9163,892,1,1126396800
594,40,1,1126483200
3021,192,1,1126483200
2664,520,1,1126483200
8659,807,1,1126656000
9585,1261,1,1126828800
525,905,1,1127347200
435,366,1,1127433600
4578,3130,1,1127433600
5483,430,1,1127520000
5483,791,1,1127520000
1039,65,1,1128211200
225,96,1,1128211200
225,115,1,1128211200
225,202,1,1128211200
225,981,1,1128297600
3852,257,1,1128384000
3852,4851,1,1128384000
1681,418,1,1129075200
1681,989,1,1129075200
